"ABS remoteness area","2011+Mean(Count of cases)","2012+Mean(Count of cases)","2013+Mean(Count of cases)","2014+Mean(Count of cases)","2015+Mean(Count of cases)","2016+Mean(Count of cases)","2017+Mean(Count of cases)","2018+Mean(Count of cases)","2019+Mean(Count of cases)","2020+Mean(Count of cases)","2021+Mean(Count of cases)"
"Major Cities",1325.6470028544265,1388.6892315104772,1383.4182116874006,1445.2056954577527,1467.6686944314456,1488.62103083295,1518.2599409225177,1538.414359666893,1577.279668607251,1570.7281235376665,1625.8741305811122
"Missing",42.6998939554613,38.05290456431535,34.88387715930907,38.83425925925923,39.42705570291775,42.555066079295116,44.36309523809522,48.64163265306127,49.39410395655544,54.62783810463968,61.23034934497816
"Regional",689.6624203821644,695.7607379648292,710.3135518157674,719.7169974115608,756.2294271590576,754.8041266252101,768.96129032258,788.2574006202427,810.5627462014629,772.8619528619525,821.6137244050911
"Remote",158.30529369108015,162.50644699140415,165.80728051391864,174.2841648590024,188.38241758241767,194.8864942528735,214.24191063174123,209.44067796610165,225.44033872209383,219.58810240963842,223.21107784431143
